,,4-19-10 KN,4-19-10 SU,4-19-11 SU,4-19-11 KN,4-20-15 KN,4-20-15 WC,4-20-16 WC,4-20-16 KN,4-21-10 SS,4-21-10 MS,4-21-14 MS,4-21-14 SS,4-21-15 SC,4-21-15 MS,4-24-9 MS,4-24-9 SC,5-2-13 SC,5-2-13 WC,5-2-14 WC,5-2-14 SC,4-12-15 KN,4-12-15 SU,4-14-14 KN,4-14-14 WC,4-25-10 SU,4-25-10 KN,4-25-16 WC,4-25-16 KN,4-26-15 SS,4-26-15 MS,5-2-10 MS,5-2-10 SS,5-2-15 SC,5-2-15 MS,5-3-10 MS,5-3-10 SC,5-10-10 SC,5-10-10 WC,5-11-15 WC,5-11-15 SC,5-9-10 KN,5-9-10 SU,5-12-10 SU,5-12-10 KN,6-6-12 KN,6-6-12 WC,6-6-14 WC,6-6-14 KN,6-8-9 SS,6-8-9 MS,6-9-10 MS,6-9-10 SS,6-14-15 SC,6-14-15 MS,6-22-10 MS,6-22-10 SC,6-22-12 SC,6-22-12 WC,6-22-14 WC,6-22-14 SC,Total,,,Percentage,,Non-CS,CS,CP
3.3,BCR only possible cell,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,6,,50,,1,1,1
3.4,BCR last cell,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5,6,,83.33333333,,1,2,2
3.5,Position in block,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,33.33333333,,0,2,0
3.6,Cell focus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,16.66666667,,0,1,0
3.7,Follow most recent value,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5,6,,83.33333333,,1,2,2
,Subset Sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Brute force by values,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,4,6,,66.66666667,,1,1,2
4.2,Brute force by set size,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,33.33333333,,1,1,0
4.3,Negative vs Positive,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,6,6,,100,,2,2,2
4.4.1,Match by sets of absolute values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,6,,33.33333333,,0,0,2
4.4.2,Match by single to single or pairs,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,33.33333333,,1,1,0
,Scheduling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,Propagate busy,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,,1,12,12,,100,,4,4,4
5.2,Propagate meetings,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3,12,,25,,1,1,1
5.3,Unique first,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,,,,,1,7,12,,58.33333333,,1,4,2
5.4,Most constrained first,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,6,12,,50,,2,2,2
,Magic Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,CDR equations,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,12,,33.33333333,,3,0,1
6.2.1,"Sum val, average of triples",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,8.333333333,,1,0,0
6.2.2,"Sum val, match triples",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,8.333333333,,1,0,0
